"filename", "language", "PHP", "CSS", "HTML", "JavaScript", "SVG", "SQL", "comment", "blank", "total"
"c:\xampp\htdocs\trodi\pagina\index.php", "PHP", 223, 0, 0, 0, 0, 0, 7, 36, 266
"c:\xampp\htdocs\trodi\pagina\layouts\footer.php", "PHP", 73, 0, 0, 0, 0, 0, 0, 0, 73
"c:\xampp\htdocs\trodi\pagina\layouts\head.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 3, 22
"c:\xampp\htdocs\trodi\pagina\layouts\header.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 0, 27
"c:\xampp\htdocs\trodi\pagina\nueva_publicacion.php", "PHP", 203, 0, 0, 0, 0, 0, 24, 40, 267
"c:\xampp\htdocs\trodi\pagina\photo.php", "PHP", 97, 0, 0, 0, 0, 0, 4, 24, 125
"c:\xampp\htdocs\trodi\pagina\post.php", "PHP", 10, 0, 0, 0, 0, 0, 2, 4, 16
"c:\xampp\htdocs\trodi\pagina\publication.php", "PHP", 56, 0, 0, 0, 0, 0, 0, 21, 77
"c:\xampp\htdocs\trodi\pagina\required\nueva_publicacion.css", "CSS", 0, 39, 0, 0, 0, 0, 0, 10, 49
"c:\xampp\htdocs\trodi\pagina\required\script.js", "JavaScript", 0, 0, 0, 43, 0, 0, 4, 15, 62
"c:\xampp\htdocs\trodi\pagina\required\styles.css", "CSS", 0, 304, 0, 0, 0, 0, 26, 67, 397
"c:\xampp\htdocs\trodi\pagina\required\upload.css", "CSS", 0, 31, 0, 0, 0, 0, 0, 6, 37
"c:\xampp\htdocs\trodi\pagina\save_email.php", "PHP", 14, 0, 0, 0, 0, 0, 6, 5, 25
"c:\xampp\htdocs\trodi\pagina\tutorial.php", "PHP", 167, 0, 0, 0, 0, 0, 0, 28, 195
"c:\xampp\htdocs\trodi\pagina\upload_img.php", "PHP", 76, 0, 0, 0, 0, 0, 15, 26, 117
"c:\xampp\htdocs\trodi\pagina\video.php", "PHP", 125, 0, 0, 0, 0, 0, 7, 35, 167
"c:\xampp\htdocs\trodi\pagina\video\CUSCO-Fotograf-a-de-blanco-y-negro-a-color.php", "PHP", 61, 0, 0, 0, 0, 0, 7, 19, 87
"c:\xampp\htdocs\trodi\pagina\video\De-blanco-y-negro-a-Color-Fotograf-as-de-Martin-Chambi-Cusco-.php", "PHP", 62, 0, 0, 0, 0, 0, 7, 17, 86
"c:\xampp\htdocs\trodi\pagina\video\Hackeando-Android-Control-total-a-trav-s-de-Wi-Fi-con-ADB.php", "PHP", 61, 0, 0, 0, 0, 0, 7, 17, 85
